t_start,t_end,availability_time,value
1763720196.225124,1763720196.33577,0.11064600944519043,2
1763720196.431593,1763720196.46578,0.03418707847595215,4
1763720196.638591,1763720196.741914,0.10332298278808594,8
1763720196.842166,1763720196.948964,0.10679817199707031,10
1763720197.046519,1763720197.175353,0.12883400917053223,12
1763720197.250053,1763720197.380537,0.13048410415649414,14
1763720197.453947,1763720197.560036,0.10608887672424316,16
1763720197.65764,1763720197.761557,0.10391712188720703,18
1763720197.860891,1763720197.962402,0.10151100158691406,20
