t_start,t_end,availability_time,value
1763720324.154382,1763720324.220692,0.06630992889404297,2
1763720324.360076,1763720324.447971,0.08789515495300293,6
1763720324.563573,1763720324.676053,0.11248016357421875,8
1763720324.769785,1763720324.914291,0.14450597763061523,10
1763720324.977997,1763720325.10255,0.12455296516418457,12
1763720325.182435,1763720325.278832,0.09639692306518555,14
1763720325.386555,1763720325.484074,0.0975191593170166,16
1763720325.590875,1763720325.66809,0.07721519470214844,18
1763720325.794943,1763720325.92159,0.1266469955444336,20
1763720325.999443,1763720326.137705,0.13826203346252441,22
1763720326.203365,1763720326.309367,0.1060018539428711,24
1763720326.406212,1763720326.528758,0.12254595756530762,26
1763720326.610003,1763720326.73742,0.12741708755493164,28
1763720326.813757,1763720326.911507,0.09774994850158691,30
1763720327.020857,1763720327.136505,0.11564779281616211,32
1763720327.225602,1763720327.330824,0.10522198677062988,34
1763720327.430397,1763720327.530639,0.10024189949035645,36
1763720327.637001,1763720327.740902,0.10390090942382812,38
1763720327.844807,1763720327.94913,0.10432314872741699,40
1763720328.0492,1763720328.151486,0.10228586196899414,42
1763720328.256268,1763720328.379184,0.12291598320007324,44
1763720328.460603,1763720328.559369,0.09876608848571777,46
1763720328.665989,1763720328.769556,0.10356712341308594,48
1763720328.869531,1763720328.946316,0.07678508758544922,50
1763720329.074467,1763720329.169212,0.09474515914916992,52
1763720329.280471,1763720329.392593,0.1121218204498291,54
1763720329.486125,1763720329.571591,0.08546590805053711,56
1763720329.693632,1763720329.769747,0.07611513137817383,58
1763720329.901932,1763720329.980233,0.07830095291137695,60
1763720330.108162,1763720330.190476,0.08231401443481445,62
1763720330.313082,1763720330.405361,0.09227895736694336,64
1763720330.518939,1763720330.607181,0.0882420539855957,66
1763720330.725016,1763720330.841382,0.11636590957641602,68
1763720330.929226,1763720331.013716,0.08449006080627441,70
1763720331.133134,1763720331.230261,0.09712719917297363,72
1763720331.338257,1763720331.412323,0.0740659236907959,74
1763720331.543594,1763720331.647053,0.10345911979675293,76
1763720331.747902,1763720331.840284,0.09238219261169434,78
1763720331.953345,1763720332.058763,0.10541796684265137,80
1763720332.15917,1763720332.222672,0.06350207328796387,82
1763720332.362214,1763720332.438867,0.07665300369262695,84
1763720332.566638,1763720332.652004,0.08536601066589355,86
1763720332.771123,1763720332.844055,0.07293200492858887,88
1763720332.975184,1763720333.078214,0.10302996635437012,90
1763720333.178786,1763720333.255203,0.0764169692993164,92
1763720333.382658,1763720333.469466,0.0868079662322998,94
1763720333.587398,1763720333.682709,0.09531092643737793,96
1763720333.791099,1763720333.891026,0.09992694854736328,98
1763720333.995736,1763720334.133908,0.13817214965820312,100
1763720334.199765,1763720334.299195,0.09943008422851562,102
1763720334.40598,1763720334.516834,0.11085391044616699,104
1763720334.611152,1763720334.70237,0.0912179946899414,106
1763720334.81639,1763720334.910097,0.09370684623718262,108
1763720335.025863,1763720335.109841,0.08397817611694336,110
1763720335.229219,1763720335.336195,0.10697603225708008,112
1763720335.435991,1763720335.54359,0.10759902000427246,114
1763720335.644145,1763720335.752331,0.10818600654602051,116
1763720335.848814,1763720335.937684,0.08887004852294922,118
1763720336.052681,1763720336.172844,0.1201629638671875,120
1763720336.258625,1763720336.351398,0.0927729606628418,122
1763720336.466053,1763720336.548936,0.08288288116455078,124
1763720336.674789,1763720336.761867,0.08707809448242188,126
1763720336.878458,1763720336.971772,0.09331393241882324,128
1763720337.085329,1763720337.18305,0.09772086143493652,130
1763720337.28954,1763720337.359342,0.06980204582214355,132
1763720337.494202,1763720337.595434,0.10123205184936523,134
1763720337.707658,1763720337.799171,0.09151291847229004,136
1763720337.912293,1763720338.004622,0.09232902526855469,138
1763720338.120261,1763720338.225487,0.10522603988647461,140
1763720338.325062,1763720338.398581,0.07351899147033691,142
1763720338.531293,1763720338.616089,0.08479619026184082,144
1763720338.738103,1763720338.864707,0.1266040802001953,146
1763720338.945279,1763720339.047605,0.1023261547088623,148
1763720339.150261,1763720339.220993,0.07073211669921875,150
1763720339.35273,1763720339.43664,0.08390998840332031,152
1763720339.556232,1763720339.62323,0.06699800491333008,154
1763720339.759546,1763720339.85427,0.09472393989562988,156
1763720339.967863,1763720340.072897,0.10503387451171875,158
1763720340.172793,1763720340.261997,0.08920407295227051,160
1763720340.379346,1763720340.478205,0.09885907173156738,162
1763720340.591927,1763720340.674205,0.08227801322937012,164
1763720340.799064,1763720340.878088,0.07902407646179199,166
1763720341.009981,1763720341.104344,0.09436297416687012,168
1763720341.216425,1763720341.314272,0.09784698486328125,170
1763720341.420808,1763720341.511287,0.09047889709472656,172
1763720341.629323,1763720341.721631,0.09230804443359375,174
1763720341.836917,1763720341.930935,0.09401798248291016,176
1763720342.045716,1763720342.14694,0.10122394561767578,178
1763720342.251708,1763720342.341874,0.09016585350036621,180
1763720342.457895,1763720342.563304,0.10540890693664551,182
1763720342.666098,1763720342.761395,0.09529685974121094,184
1763720342.871367,1763720342.962407,0.09104013442993164,186
1763720343.074914,1763720343.158233,0.08331894874572754,188
1763720343.278861,1763720343.378708,0.09984683990478516,190
1763720343.482765,1763720343.557659,0.07489395141601562,192
1763720343.69142,1763720343.764152,0.07273197174072266,194
1763720343.896289,1763720344.00091,0.10462093353271484,196
1763720344.104083,1763720344.178776,0.07469296455383301,198
1763720344.309223,1763720344.403065,0.0938420295715332,200
