t_start,t_end,availability_time,value
1763561521.170281,1763561521.708977,0.5386960506439209,2
1763561522.187536,1763561522.376438,0.1889019012451172,4
1763561523.195589,1763561523.427748,0.23215889930725098,6
1763561524.202992,1763561524.369096,0.16610407829284668,8
1763561525.210228,1763561525.403093,0.19286513328552246,10
1763561526.217675,1763561526.448201,0.23052597045898438,12
1763561527.227775,1763561527.584869,0.35709381103515625,14
1763561528.234421,1763561528.441168,0.20674705505371094,16
1763561529.239904,1763561529.419909,0.18000507354736328,18
1763561530.247006,1763561530.451162,0.20415616035461426,20
1763561531.252915,1763561531.516359,0.263444185256958,22
1763561532.258776,1763561532.449123,0.19034695625305176,24
1763561533.266089,1763561533.485104,0.21901512145996094,26
1763561534.275799,1763561534.46513,0.1893310546875,28
1763561535.285465,1763561535.469179,0.1837139129638672,30
1763561536.291202,1763561536.546462,0.25525999069213867,32
1763561537.299619,1763561537.506315,0.2066960334777832,34
1763561538.306899,1763561538.470837,0.16393804550170898,36
1763561539.315137,1763561539.484621,0.16948413848876953,38
1763561540.322581,1763561540.514522,0.1919410228729248,40
1763561541.327147,1763561541.537037,0.20988988876342773,42
1763561542.333527,1763561542.522276,0.18874883651733398,44
1763561543.341247,1763561543.521105,0.17985796928405762,46
1763561544.347862,1763561544.540521,0.1926589012145996,48
1763561545.355947,1763561545.5448,0.18885302543640137,50
1763561546.363177,1763561546.551717,0.18853998184204102,52
1763561547.368544,1763561547.59835,0.22980594635009766,54
1763561548.377324,1763561548.569894,0.19256997108459473,56
1763561549.388148,1763561549.573812,0.18566393852233887,58
1763561550.39697,1763561550.580735,0.18376493453979492,60
1763561551.403915,1763561551.583857,0.17994213104248047,62
1763561552.411637,1763561552.60763,0.19599294662475586,64
1763561553.417878,1763561553.573296,0.15541815757751465,66
1763561554.423725,1763561554.595288,0.17156314849853516,68
1763561555.431779,1763561555.64402,0.21224117279052734,70
1763561556.441688,1763561556.626735,0.18504691123962402,72
1763561557.449255,1763561557.675313,0.2260580062866211,74
1763561558.457189,1763561558.638363,0.18117380142211914,76
1763561559.465893,1763561559.645995,0.18010187149047852,78
1763561560.47277,1763561560.648905,0.17613506317138672,80
