t_start,t_end,availability_time,value
1763717882.910849,1763717883.037931,0.12708187103271484,2
1763717883.124811,1763717883.164647,0.03983616828918457,4
1763717883.330327,1763717883.364638,0.03431105613708496,6
1763717883.534672,1763717883.566565,0.031893014907836914,8
1763717883.737735,1763717883.783482,0.04574704170227051,10
1763717883.941078,1763717883.998432,0.057353973388671875,12
1763717884.145329,1763717884.209346,0.06401705741882324,14
1763717884.354665,1763717884.395483,0.040817975997924805,16
1763717884.559101,1763717884.59596,0.03685879707336426,18
1763717884.764622,1763717884.814759,0.05013704299926758,20
