t_start,t_end,availability_time,value
1763557855.894149,1763557855.929975,0.03582596778869629,2
1763557856.101717,1763557856.171842,0.07012510299682617,6
1763557856.308339,1763557856.380007,0.07166790962219238,8
1763557856.518634,1763557856.608399,0.08976483345031738,10
1763557856.724898,1763557856.760165,0.035266876220703125,12
1763557856.928668,1763557856.969452,0.04078388214111328,14
1763557857.130387,1763557857.189356,0.05896902084350586,16
1763557857.335615,1763557857.410212,0.07459712028503418,18
1763557857.541739,1763557857.626597,0.08485794067382812,20
