t_start,t_end,availability_time,value
1763562836.808009,1763562837.47056,0.6625511646270752,2
1763562837.826001,1763562838.078898,0.2528970241546631,4
1763562838.831666,1763562839.103261,0.2715950012207031,6
1763562839.83894,1763562840.110231,0.27129101753234863,8
1763562840.845854,1763562841.11043,0.2645759582519531,10
1763562841.8502,1763562842.283179,0.43297910690307617,12
1763562842.856987,1763562843.129046,0.27205896377563477,14
1763562843.861786,1763562844.104346,0.24256014823913574,16
1763562844.864946,1763562845.108693,0.24374699592590332,18
1763562845.870867,1763562846.14198,0.27111291885375977,20
