t_start,t_end,availability_time,value
1763725684.918322,1763725685.306422,0.38809990882873535,2
1763725685.940121,1763725686.242562,0.3024411201477051,4
1763725686.947923,1763725687.53807,0.5901470184326172,8
1763725687.955508,1763725688.515627,0.5601189136505127,10
1763725688.961937,1763725689.555854,0.5939171314239502,12
1763725689.966248,1763725690.456424,0.4901759624481201,14
1763725690.975315,1763725691.417359,0.4420440196990967,16
1763725691.982352,1763725692.527799,0.5454468727111816,18
1763725692.987248,1763725693.445419,0.45817112922668457,20
1763725693.989053,1763725694.382594,0.3935410976409912,22
1763725694.993853,1763725695.411525,0.41767191886901855,24
1763725695.998167,1763725696.421481,0.42331385612487793,26
1763725697.004461,1763725697.441106,0.4366450309753418,28
1763725698.011669,1763725698.514529,0.5028600692749023,30
1763725700.028964,1763725700.50831,0.47934603691101074,32
