t_start,t_end,availability_time,value
1763558509.6455,1763558509.884194,0.2386939525604248,2
1763558510.169634,1763558510.229072,0.05943799018859863,4
1763558510.675021,1763558510.762818,0.08779716491699219,6
1763558511.183448,1763558511.286181,0.10273289680480957,8
1763558511.690256,1763558511.774094,0.08383798599243164,10
1763558512.195206,1763558512.26756,0.07235407829284668,12
1763558512.702415,1763558512.780853,0.07843804359436035,14
1763558513.210099,1763558513.277474,0.06737494468688965,16
1763558513.716998,1763558513.807548,0.09054994583129883,18
1763558514.22278,1763558514.280368,0.05758810043334961,20
1763558514.728096,1763558514.788691,0.060595035552978516,22
1763558515.235787,1763558515.319313,0.0835261344909668,24
1763558515.741087,1763558515.814204,0.07311701774597168,26
1763558516.246772,1763558516.313308,0.06653594970703125,28
1763558516.750933,1763558516.812938,0.062005043029785156,30
1763558517.253404,1763558517.34495,0.09154605865478516,32
1763558517.75955,1763558517.823198,0.06364798545837402,34
1763558518.267594,1763558518.338023,0.07042884826660156,36
1763558518.773352,1763558518.868594,0.09524202346801758,38
1763558519.281889,1763558519.365935,0.0840461254119873,40
1763558519.791373,1763558519.869219,0.07784605026245117,42
1763558520.298865,1763558520.408294,0.10942888259887695,44
1763558520.807767,1763558520.907494,0.09972715377807617,46
1763558521.326186,1763558521.404617,0.0784311294555664,48
1763558521.834288,1763558521.942006,0.10771822929382324,50
1763558522.342551,1763558522.404225,0.06167411804199219,52
1763558522.848081,1763558522.933711,0.08562994003295898,54
1763558523.354003,1763558523.415829,0.06182599067687988,56
1763558523.860256,1763558523.934157,0.07390093803405762,58
1763558524.36603,1763558524.442644,0.0766139030456543,60
1763558524.880232,1763558524.966816,0.08658385276794434,62
1763558525.38709,1763558525.457064,0.06997394561767578,64
1763558525.893146,1763558525.954652,0.061506032943725586,66
1763558526.398944,1763558526.463201,0.06425714492797852,68
1763558526.905274,1763558526.972678,0.06740403175354004,70
1763558527.411631,1763558527.471379,0.059747934341430664,72
1763558527.917441,1763558527.970694,0.053253173828125,74
1763558528.424729,1763558528.507949,0.08322000503540039,76
1763558528.932542,1763558528.998238,0.06569600105285645,78
1763558529.439534,1763558529.503353,0.06381916999816895,80
1763558529.946491,1763558530.02131,0.07481908798217773,82
1763558530.453664,1763558530.547289,0.09362483024597168,84
1763558530.960068,1763558531.065242,0.10517406463623047,86
