Device,Max Risk,Avg Risk,Num Paths
192.168.56.110,0.7959183673469388,0.597598,61434
192.168.56.111,0.7959183673469388,0.606454,52463
192.168.56.112,0.7959183673469388,0.615172,40612
192.168.56.113,0.7959183673469388,0.571344,23042
192.168.56.114,0.7959183673469388,0.592316,22038
192.168.56.115,0.7959183673469388,0.564437,26054
192.168.56.116,0.7959183673469388,0.573490,24046
192.168.56.117,0.7959183673469388,0.592316,22038
192.168.56.118,0.7959183673469388,0.571344,23042
