Device,TTC
192.168.56.50,19.93
192.168.56.51,22.78
192.168.56.52,25.27
192.168.56.53,25.13
192.168.56.54,21.26
192.168.56.55,27.54
192.168.56.56,29.0
192.168.56.57,21.26
192.168.56.58,21.26
192.168.56.59,21.26
192.168.56.60,27.54
192.168.56.61,29.0
