t_start,t_end,availability_time,value
1763557879.790648,1763557880.01024,0.21959209442138672,2
1763557880.319466,1763557880.431533,0.11206698417663574,4
1763557880.825699,1763557880.918466,0.09276700019836426,6
1763557881.333013,1763557881.431873,0.09886002540588379,8
1763557881.839924,1763557881.941539,0.10161495208740234,10
1763557882.345904,1763557882.407283,0.06137895584106445,12
1763557882.851907,1763557882.956771,0.10486388206481934,14
1763557883.358912,1763557883.462537,0.10362505912780762,16
1763557883.87002,1763557883.976091,0.10607099533081055,18
1763557884.379983,1763557884.47006,0.09007716178894043,20
