t_start,t_end,availability_time,value
1763717928.776448,1763717928.892013,0.11556506156921387,2
1763717929.787925,1763717929.816099,0.02817392349243164,4
1763717930.792862,1763717930.828455,0.03559303283691406,6
1763717931.797781,1763717931.831828,0.03404712677001953,8
1763717932.805721,1763717932.875464,0.06974291801452637,10
1763717933.815403,1763717933.861539,0.046135902404785156,12
1763717934.821793,1763717934.861011,0.03921794891357422,14
1763717935.828174,1763717935.875708,0.04753398895263672,16
1763717936.833559,1763717936.87405,0.04049086570739746,18
1763717937.840588,1763717937.880114,0.03952598571777344,20
