t_start,t_end,availability_time,value
1763560517.03875,1763560517.584461,0.5457110404968262,2
1763560518.065571,1763560518.267794,0.2022228240966797,4
1763560519.071496,1763560519.301971,0.23047494888305664,6
1763560520.07889,1763560520.357274,0.2783839702606201,8
1763560521.086031,1763560521.252388,0.16635704040527344,10
1763560522.092885,1763560522.288506,0.19562101364135742,12
1763560523.104051,1763560523.344549,0.24049782752990723,14
1763560524.116289,1763560524.31312,0.19683098793029785,16
1763560525.123976,1763560525.296448,0.1724720001220703,18
1763560526.130529,1763560526.313921,0.18339204788208008,20
1763560527.140252,1763560527.299747,0.15949487686157227,22
1763560528.144792,1763560528.308174,0.16338181495666504,24
1763560529.15796,1763560529.343556,0.18559598922729492,26
1763560530.16415,1763560530.366377,0.20222711563110352,28
1763560531.172348,1763560531.371104,0.19875597953796387,30
1763560532.178737,1763560532.394941,0.21620416641235352,32
1763560533.185234,1763560533.366664,0.18142986297607422,34
1763560534.1904,1763560534.357255,0.1668550968170166,36
1763560535.196075,1763560535.352678,0.15660309791564941,38
1763560536.201802,1763560536.423592,0.22179007530212402,40
1763560537.208948,1763560537.404187,0.19523906707763672,42
1763560538.218981,1763560538.414971,0.19599008560180664,44
1763560539.227796,1763560539.395881,0.16808485984802246,46
1763560540.23546,1763560540.396294,0.16083407402038574,48
1763560541.241594,1763560541.418497,0.17690300941467285,50
1763560542.250232,1763560542.425159,0.1749269962310791,52
1763560543.258317,1763560543.470644,0.2123270034790039,54
1763560544.26979,1763560544.452406,0.1826159954071045,56
1763560545.278651,1763560545.429751,0.15109992027282715,58
1763560546.28342,1763560546.434651,0.1512308120727539,60
1763560547.289241,1763560547.456182,0.16694092750549316,62
1763560548.294962,1763560548.454779,0.15981698036193848,64
1763560549.300496,1763560549.45801,0.15751385688781738,66
1763560550.30722,1763560550.473503,0.16628313064575195,68
1763560551.316943,1763560551.549597,0.23265409469604492,70
1763560552.323705,1763560552.579849,0.25614404678344727,72
1763560553.331548,1763560553.48272,0.15117192268371582,74
1763560554.338725,1763560554.542048,0.2033228874206543,76
1763560555.347486,1763560555.517941,0.1704549789428711,78
1763560556.35421,1763560556.50614,0.1519300937652588,80
1763560557.358261,1763560557.526458,0.1681969165802002,82
1763560558.364299,1763560558.525622,0.16132283210754395,84
1763560559.370174,1763560559.53646,0.16628599166870117,86
1763560560.376602,1763560560.567889,0.19128704071044922,88
1763560561.384002,1763560561.546595,0.16259312629699707,90
1763560562.390252,1763560562.603593,0.21334099769592285,92
1763560563.39608,1763560563.541578,0.14549803733825684,94
1763560564.40742,1763560564.590166,0.18274617195129395,96
1763560565.41705,1763560565.602676,0.18562602996826172,98
1763560566.428643,1763560566.585766,0.15712308883666992,100
1763560567.434583,1763560567.594743,0.16016006469726562,102
1763560568.443384,1763560568.626132,0.18274807929992676,104
1763560569.449201,1763560569.624876,0.1756749153137207,106
1763560570.455073,1763560570.653889,0.19881582260131836,108
1763560571.461276,1763560571.628452,0.1671760082244873,110
1763560572.467095,1763560572.623325,0.15623021125793457,112
1763560573.473286,1763560573.632809,0.15952301025390625,114
1763560574.479795,1763560574.657399,0.17760396003723145,116
1763560575.488735,1763560575.747851,0.25911593437194824,118
1763560576.498244,1763560576.71167,0.213425874710083,120
1763560577.506098,1763560577.660156,0.15405797958374023,122
1763560578.512656,1763560578.6865,0.1738440990447998,124
1763560579.520139,1763560579.731682,0.21154308319091797,126
1763560580.525688,1763560580.754637,0.22894906997680664,128
1763560581.536892,1763560581.699103,0.16221117973327637,130
1763560582.544259,1763560582.694093,0.14983391761779785,132
1763560583.551284,1763560583.729424,0.17813992500305176,134
1763560584.560138,1763560584.749373,0.18923497200012207,136
1763560585.568489,1763560585.770866,0.2023768424987793,138
1763560586.581609,1763560586.761717,0.18010807037353516,140
1763560587.587505,1763560587.771011,0.18350601196289062,142
1763560588.594895,1763560588.78143,0.18653512001037598,144
1763560589.607538,1763560589.798994,0.19145607948303223,146
1763560590.614378,1763560590.767908,0.15353012084960938,148
1763560591.619283,1763560591.76565,0.14636707305908203,150
1763560592.623351,1763560592.791225,0.16787385940551758,152
1763560593.629615,1763560593.789447,0.15983200073242188,154
1763560594.639064,1763560594.784593,0.14552903175354004,156
1763560595.647454,1763560595.828856,0.18140196800231934,158
1763560596.655505,1763560596.835498,0.1799931526184082,160
1763560597.663802,1763560597.843037,0.17923498153686523,162
1763560598.672166,1763560598.860997,0.18883085250854492,164
1763560599.680783,1763560599.881744,0.20096087455749512,166
1763560600.689403,1763560600.857999,0.1685960292816162,168
1763560601.697593,1763560601.863915,0.1663219928741455,170
1763560602.705557,1763560602.896866,0.19130897521972656,172
1763560603.71199,1763560603.865599,0.1536087989807129,174
1763560604.717434,1763560604.866167,0.14873313903808594,176
1763560605.721182,1763560605.866251,0.14506888389587402,178
1763560606.728231,1763560606.914146,0.1859149932861328,180
1763560607.734535,1763560607.894609,0.16007399559020996,182
1763560608.753619,1763560608.92851,0.17489099502563477,184
1763560609.760019,1763560609.995161,0.23514199256896973,186
1763560610.765748,1763560610.95259,0.1868419647216797,188
1763560611.771998,1763560611.956232,0.1842341423034668,190
1763560612.778317,1763560612.944045,0.16572809219360352,192
1763560613.783373,1763560613.956831,0.17345786094665527,194
1763560614.789415,1763560615.020976,0.23156118392944336,196
1763560615.795046,1763560615.942744,0.14769792556762695,198
1763560616.800477,1763560617.013246,0.2127690315246582,200
