t_start,t_end,availability_time,value
1763560265.693627,1763560266.172282,0.4786548614501953,2
1763560266.217624,1763560266.564734,0.3471100330352783,4
1763560266.730789,1763560266.935484,0.2046949863433838,6
1763560267.236524,1763560267.486343,0.2498188018798828,8
1763560267.744092,1763560267.950913,0.20682096481323242,10
1763560268.252115,1763560268.471086,0.21897101402282715,12
1763560268.757467,1763560268.962109,0.20464205741882324,14
1763560269.263174,1763560269.546337,0.28316283226013184,16
1763560269.770019,1763560270.002566,0.23254704475402832,18
1763560270.279111,1763560270.462604,0.18349313735961914,20
