t_start,t_end,availability_time,value
1763720223.259661,1763720223.566823,0.3071620464324951,2
1763720223.776635,1763720223.886823,0.11018800735473633,4
1763720224.280544,1763720224.387842,0.10729789733886719,6
1763720224.784304,1763720224.915138,0.13083410263061523,8
1763720225.289249,1763720225.41383,0.12458109855651855,10
1763720225.793717,1763720225.922802,0.12908506393432617,12
1763720226.29749,1763720226.409858,0.11236810684204102,14
1763720226.800748,1763720226.914757,0.11400890350341797,16
1763720227.305105,1763720227.420713,0.11560797691345215,18
1763720227.809413,1763720227.927943,0.1185300350189209,20
