t_start,t_end,availability_time,value
1763570602.260282,1763570602.511823,0.2515408992767334,2
1763570602.777448,1763570602.893325,0.11587715148925781,4
1763570603.282894,1763570603.38279,0.09989619255065918,6
1763570603.786897,1763570603.903869,0.11697196960449219,8
1763570604.290233,1763570604.423676,0.13344311714172363,10
1763570604.797522,1763570604.917226,0.11970400810241699,12
1763570605.305015,1763570605.420844,0.1158289909362793,14
1763570605.810178,1763570605.908478,0.09829998016357422,16
1763570606.315171,1763570606.428208,0.113037109375,18
1763570606.822712,1763570606.944473,0.12176108360290527,20
